,Fall 2023,Spring 2024,Fall 2024
Number of extant finding aids,,,1274
Newly created finding aids,,,70
Modified finding aids,,,14
Number of visits to Archives West,,,10243
Number of patron interactions,,,105
University related patron interactions,,,32
Non-University related patron interactions,,,73
Number of linear feet added through new accessions,,,94.5
# of linear feet currently in use,,,
# of linear feet vacant for future use,,,
