objectid,title,url,last_update,created,item_count
grey_al,Al Grey and Rosalie Soladar Memorial Collection,https://www.ijc.uidaho.edu/grey_al/,2023-12,2008,255
gillespie_dizzy,Dizzy Gillespie Collection,https://www.ijc.uidaho.edu/gillespie_dizzy/,2023-12,2008,14
williams_joe,Joe Williams Collection,https://www.ijc.uidaho.edu/williams_joe/,2023-12,2008,20
morse_lee,Lee Morse Collection,https://www.ijc.uidaho.edu/morse_lee/,2023-12,2008,83
feather_leonard,Leonard Feather Jazz Collection,https://www.ijc.uidaho.edu/feather_leonard/,2023-12,2008,614
hampton_collection,Lionel Hampton Library Collection,https://www.ijc.uidaho.edu/hampton_collection/,2023-12,2008,3603
brown_ray,Ray Brown Collection,https://www.ijc.uidaho.edu/brown_ray/,2023-12,2008,17
rrrd,River Recreation Research Database,https://www.lib.uidaho.edu/digital/rrrd/,2023-12,2009,289
sbw,The Selway-Bitterroot Wilderness History Project,https://www.lib.uidaho.edu/digital/sbw/,2023-12,2009,312
borah,Senator William Edgar Borah Scrapbooks,https://www.lib.uidaho.edu/digital/borah/,2023-12,2009,17
barstock,Barnard-Stockbridge Photograph Collection,https://www.lib.uidaho.edu/digital/barstock/,2023-12,2010,3979
crbp,Columbia River Basin Project: Dam Construction in the Pacific Northwest,https://www.lib.uidaho.edu/digital/crbp/,2023-12,2010,456
iwdl,Idaho Waters Digital Library,https://www.lib.uidaho.edu/digital/iwdl/,2020-10,2010,712
lewistonorch,Lewiston Orchards Life Newsletter,https://www.lib.uidaho.edu/digital/lewistonorch/,2023-12,2010,25
uiext,Agricultural Experiment & UI Extension Publications,https://www.lib.uidaho.edu/digital/uiext/,2023-12,2011,2188
shattuck,"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",https://www.lib.uidaho.edu/digital/shattuck/,2023-12,2011,202
iddings,"Edward John Iddings Lantern Slides, 1927",https://www.lib.uidaho.edu/digital/iddings/,2023-12,2011,157
familytree,"Family Tree Collection, a Potlatch Forests, Inc. Newsletter",https://www.lib.uidaho.edu/digital/familytree/,2023-12,2011,180
marsh,Harry Webb Marsh Collection,https://www.lib.uidaho.edu/digital/marsh/,2023-12,2011,6
footballcovers,Idaho Football Covers Collection,https://www.lib.uidaho.edu/digital/footballcovers/,2023-12,2011,148
fwres,Idaho Forest Wildlife and Range Experiment Station Collection,https://www.lib.uidaho.edu/digital/fwres/,2023-12,2011,233
aerial,Idaho Historical Aerial Photographs,https://www.lib.uidaho.edu/digital/aerial/,2023-11,2011,2021
iftnc,Intermountain Forestry Cooperative,https://www.lib.uidaho.edu/digital/iftnc/,2023-12,2011,331
kooskia,Kooskia Internment Camp Scrapbook,https://www.lib.uidaho.edu/digital/kooskia/,2022-04,2011,193
laughlin,Kyle Laughlin Photographs,https://www.lib.uidaho.edu/digital/laughlin/,2023-12,2011,828
ott,Ott Historical Photograph Collection,https://www.lib.uidaho.edu/digital/ott/,2024-02,2011,1826
higgins,Robert E. Higgins Collection,https://www.lib.uidaho.edu/digital/higgins/,2023-12,2011,42
fisher,Stanton Gilbert Fisher Collection,https://www.lib.uidaho.edu/digital/fisher/,2023-12,2011,50
bigburn,The Big Burn Collection,https://www.lib.uidaho.edu/digital/bigburn/,2023-12,2011,66
troosevelt,The Theodore Roosevelt Collection,https://www.lib.uidaho.edu/digital/troosevelt/,2023-12,2011,43
uihistorical,University of Idaho Historical Photos,https://www.lib.uidaho.edu/digital/uihistorical/,2023-12,2011,346
vandalvideo,Vandal Video Collection,https://www.lib.uidaho.edu/digital/vandalvideo/,2023-12,2011,167
watkins,Carleton Watkins Mine Interiors Collection,https://www.lib.uidaho.edu/digital/watkins/,2023-12,2012,80
dworshak,Dworshak Dam Collection,https://www.lib.uidaho.edu/digital/dworshak/,2023-12,2012,501
gem,Gem of the Mountains Digital Yearbook Collection,https://www.lib.uidaho.edu/digital/gem/,2023-12,2012,103
forestryresearch,Idaho Forestry Research Collection,https://www.lib.uidaho.edu/digital/forestryresearch/,2023-12,2012,340
historicalmaps,Idaho Historical Maps,https://www.lib.uidaho.edu/digital/historicalmaps/,2023-12,2012,9
turningwheel,Turning of the Wheel,https://www.lib.uidaho.edu/digital/turningwheel/,2023-12,2012,490
ir,University of Idaho Institutional Repository Collection,https://www.lib.uidaho.edu/digital/ir/,2023-12,2013,114
priestlake,Priest Lake Historical Photograph Collection,https://www.lib.uidaho.edu/digital/priestlake/,2023-12,2013,380
taylorranch,Taylor Ranch Log Book Collection,https://www.lib.uidaho.edu/digital/taylor/,,2013,9
forester,The Idaho Forester Collection,https://www.lib.uidaho.edu/digital/forester/,2023-12,2013,77
bunkerhill,Bunker Hill Labor Collection,https://www.lib.uidaho.edu/digital/bunkerhill/,2023-12,2014,463
boxing,Donald R. Theophilus Boxing Photograph Collection,https://www.lib.uidaho.edu/digital/boxing/,2023-12,2014,52
fugue,Fugue Digital Archive,https://www.lib.uidaho.edu/digital/fugue/,2023-12,2014,57
guidedreading,Guided Reading Library,https://www.lib.uidaho.edu/digital/guidedreading/,2023-12,2014,102
