,2017,2018,2019,2020,2021,2022,2023,2024
Unique Users,,,,,,993,1216,1339
New Users,119,221,279,481,622,587,653,624
Items Created,723,1125,1337,3741,6014,7856,8032,6328
Unique Creators,54,116,210,278,407,485,651,644
Item Views,,,,,,,678996,1126631
