,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total Collections,7,10,14,32,38,42,52,59,62,65,70,78,86,98,109,120,134
Total Items,"4,606","5,224","10,396","19,423","20,946","21,526","30,780","39,002","41,776","48,033","48,315","51,120","56,165","57,460","63,124","65,670","75,493"
Collections Added,7,3,4,18,6,4,10,7,3,3,5,8,8,12,11,11,14
Items Added,"4,606",618,"5,172","9,027","1,523",580,"9,254","8,222","2,774","6,257",282,"2,805","5,045","1,295","5,664","2,546","9,823"
