Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
7,803,759,3970,5,1229,347.964576455655,584,0.4751830756712775
8,675,635,1892,2.8580060422960725,958,201.05222053027134,423,0.44154488517745305
9,925,894,1641,1.7856365614798695,1151,132.8679949443962,490,0.4257167680278019
10,1576,1529,2881,1.842071611253197,1853,101.65649605936319,599,0.3232595790609822
11,1795,1603,4313,2.4257592800899888,2191,137.1566002738476,701,0.3199452304883615
12,3282,2819,8516,2.6090686274509802,4084,131.27841868315375,1559,0.3817335945151812
