Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
7,2314,1892,11319,4.93848167539267,2875,153.0078523895652,1883,0.6549565217391304
8,5136,4159,47687,9.374287399252998,7322,253.63654440590003,5245,0.71633433488118
9,7845,6248,58081,7.504974802946117,11261,241.85328384663887,8339,0.7405203800728177
10,10111,8408,54434,5.431992815088314,13425,197.69654829415265,8711,0.6488640595903166
11,12623,10961,54309,4.34680646710421,15343,175.47040838317145,7875,0.5132633774359643
12,16338,14693,47883,2.9491869918699187,18402,118.00507334083248,7008,0.38082817085099446
