Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
7,44776,42957,92955,2.0885009436505797,49879,131.67362986561483,18954,0.37999959902965175
8,64294,61255,114980,1.795496423998251,71186,100.47240588697214,21847,0.3069002331919198
9,31812,27847,101100,3.215035298607136,43149,218.618304861596,27268,0.6319497554983893
10,58280,53907,124364,2.14561264276595,70590,124.63219874632392,26016,0.36855078623034426
11,76043,69840,121422,1.6036504833852818,85660,87.71419408088948,23612,0.2756479103432174
12,97699,95098,143818,1.4749958976042008,104257,69.43151083284587,21353,0.20481118773799362
