Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
7,58262,54312,181576,3.134565919174133,84567,173.3581099298071,33208,0.3926827249399884
8,78562,75320,252436,3.2299818307444275,112689,154.6824325501247,40766,0.36175669319986864
9,53483,47114,307594,5.816060657628529,109458,268.9116284891557,58562,0.5350179977708345
10,89879,82111,357057,3.999742354654419,150872,197.86753979175728,59756,0.3960708415080333
11,122034,111887,337800,2.7813228162334402,170179,165.32318494016891,52714,0.3097561978857556
12,149610,141556,318602,2.1350587036937756,180972,122.50811540758791,44145,0.2439327630793714
