Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
7,2200,1619,46935,21.510082493125573,21801,254.71573131163711,8387,0.38470712352644376
8,3845,3118,58882,15.389963408259279,23901,270.4315533153845,9746,0.4077653654658801
9,5915,4616,107722,18.292069960944133,42550,323.37446200709763,16627,0.39076380728554644
10,6175,4594,132293,21.581239804241434,46268,326.81146986828935,18940,0.4093541972853808
11,5237,3711,108017,20.784491052530306,39823,380.4337014852472,16502,0.4143836476408106
12,4381,3103,69668,16.048836673577515,26874,379.69194214106574,10303,0.38338170722631537
