Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
7,1554,1196,3577,2.3767441860465115,2589,200.23556117265358,1413,0.5457705677867902
8,1823,1415,6148,3.4656144306651635,2944,176.8957316355299,1600,0.5434782608695652
9,1713,1286,4241,2.557901085645356,2920,194.56074028424655,1606,0.55
10,1927,1514,4179,2.2146263910969792,3129,207.89629998338125,1576,0.5036752956216044
11,2168,1672,4482,2.131241084165478,3395,238.8782801337261,1632,0.48070692194403536
12,2339,2046,4344,1.882149046793761,3019,122.35869221464061,1541,0.5104339185160649
