Yearly,2020,2021,2022,2023,2024,2025
Total Interactions (Non-directional),2452,2203,1637,1823,2026,1944
In Person,331,455,610,812,940,864
IM,1597,1428,737,785,814,709
Email,373,229,169,140,195,180
Phone,96,49,100,70,56,32
Text,55,42,21,16,21,16
