Semester,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Spring 2023,Summer 2023,Fall 2023,Spring 2024,Summer 2024,Fall 2024,Spring 2025,Summer 2025,Fall 2025,Spring 2026
Database searches,"260,026","56,100","173,385","193,693","34,221","189,982","186,130","29,720","209,845","283,156","53,614","315,233","361,227","45,975","206,358","389,248","76,228","189,751",
E-journals usage,"241,532","85,805","195,982","254,845","95,348","223,555","307,147","116,230","253,087","324,803","112,436","269,567","346,189","121,154","282,117","329,614","119,020","193,837",
E-book usage,"45,062","13,340","35,190","40,628","9,160","31,125","41,628","11,678","37,944","48,838","13,369","46,870","66,866","28,172","53,651","95,290","30,982","156,699",
"Streaming video (Kanopy, Swank, AVON) Usage","4,844",639,"3,270","3,941",595,"2,877","2,249",522,"4,125","3,438",610,"3,122","1,787",308,"2,465","4,121",432,"2,989","2,640"
