Semester,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Spring 2023,Summer 2023,Fall 2023,Spring 2024,Summer 2024,Fall 2024,Spring 2025
Gate Counts,"71,044","4,322","33,808","45,787","26,302","86,041","86,094","23,153","112,354","109,456","15,045","132,714","129,457","15,032","138,452","129,570"
First Floor Group Study Rooms Reservations,N/A,N/A,N/A,N/A,N/A,143,136,N/A,201,336,8,421,438,24,422,575
First Floor Instruction Room Reservations,N/A,N/A,N/A,N/A,N/A,28,16,N/A,27,48,N/A,85,58,11,94,80
Third Floor Individual Study Rooms Reservations,N/A,N/A,N/A,N/A,N/A,93,120,N/A,93,101,16,208,264,5,253,200
3D Printers Reservations,N/A,N/A,N/A,N/A,N/A,85,156,22,135,133,30,98,101,13,138,172
Studio Reservations,N/A,N/A,N/A,N/A,N/A,147,65,4,73,168,39,104,228,12,142,218
