,2020,2021,2022,2023,2024,2025
E-Journals CPU,$3.70,$4.95,$3.75,$6.66,$7.09,$8.63
E-Books CPU,$18.07,$26.87,$64.13,$49.41,$34.85,$22.67
Streaming video CPU,$3.02,$3.27,$3.07,$2.79,$5.66,$6.86
