Semester,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Spring 2023,Summer 2023,Fall 2023,Spring 2024,Summer 2024,Fall 2024,Spring 2025,Summer 2025,Fall 2025
Total Interactions (Non-directional),1183,291,978,731,156,1316,820,83,734,869,63,891,887,68,1071,1065,153,726
In Person,324,0,7,4,1,450,297,5,308,388,1,423,384,3,553,588,1,275
IM,636,153,808,618,86,724,399,20,318,388,15,382,359,23,432,386,28,295
Email,109,124,140,94,54,81,60,49,60,55,37,48,111,33,51,69,33,78
Phone,88,4,4,0,4,45,55,4,41,30,5,35,28,9,19,13,1,18
Text,26,10,19,15,11,16,9,5,7,8,5,3,5,0,16,9,4,3
