,Spring 2024,Fall 2024
Profiles,,857
Research Output Downloads,29428,52037
Research Output Views,20399,81902
Research Assets Total,21044,23061
articles,,16210
books,,391
book chapters,,738
conference paper,,996
dataset,,106
dissertation,,795
thesis,,1391
other,,2434
