Semester,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Spring 2023,Summer 2023,Fall 2023,Spring 2024,Summer 2024,Fall 2024
Total Searches,"119,738","36,959","106,543","111,856","32,581","114,938","110,326","51,721","182,280","183,256","56,498","198,271","184,961","52,425","183,654"
Basic Searches,"106,541","31,291","95,964","100,538","28,480","103,228","99,582","47,314","169,006","169,180","53,009","182,879","170,170","48,196","169,795"
Advanced Searches,"13,197","5,668","10,579","11,318","4,101","11,710","10,744","4,407","13,274","14,076","3,489","15,392","14,791","4,229","13,859"
Sign-ins,"46,045","15,265","39,085","41,384","10,208","36,708","35,613","10,940","31,674","34,708","8,551","34,708","36,405","9,799","29,145"
Total Actions,"119,838","36,959","106,543","111,856","32,581","114,938","110,326","42,467","182,280","183,256","56,498","198,271","184,961","52,425","177,654"
