Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,1817,1785,5082,2.810840707964602,2310,206.4150178852814,1215,0.525974025974026
2,883,836,1799,2.096736596736597,1140,160.07064377280702,552,0.4842105263157895
3,1070,1024,2421,2.3057142857142856,1417,165.1651155977417,673,0.47494707127734653
4,1042,997,2501,2.4352482960077895,1400,164.69887493857144,687,0.4907142857142857
5,1307,1258,2670,2.06656346749226,1612,137.9767750942928,762,0.47270471464019853
