Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,2153,1034,6034,2.865147198480532,3371,186.98086875229902,2258,0.6698309107089885
2,2527,1138,7361,2.977750809061489,4195,230.04284559380213,2722,0.6488676996424315
3,2693,1259,8022,3.0630011454753725,4311,188.83577074321502,2785,0.6460218046856878
4,2618,1100,8191,3.2388295769078685,4758,180.5942470264817,2918,0.6132828919714166
5,1715,745,3426,2.041716328963051,2261,120.54346077001327,1447,0.6399823087129589
