Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,5654,5314,101725,18.04274565448741,41361,251.57176691866746,15773,0.3813495805227146
2,5417,4134,118811,22.083828996282527,46275,280.1750473816529,17149,0.3705888708806051
3,5322,3864,118488,22.504843304843305,44213,274.29144027365265,16961,0.383620202202972
4,5032,3515,106612,21.335201120672405,42214,247.57302646870693,16425,0.3890889278438433
5,3075,2098,68705,22.66743648960739,31041,216.0965740021262,12729,0.410070551850778
