Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,1942,1527,14281,7.418701298701299,2499,194.59134985714283,1804,0.7218887555022009
2,1277,1001,7785,6.1590189873417724,1691,218.4168200437611,1144,0.6765227675931401
3,1693,1289,12325,7.336309523809524,2225,215.25592932494374,1588,0.7137078651685393
4,2169,1773,9911,4.624825011665889,2712,136.88997115523603,1705,0.6286873156342183
5,2022,1676,9943,4.973986993496748,2513,158.51883302228413,1626,0.6470354158376442
