Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,17236,13788,76478,4.501883682599482,27387,208.17549587921278,15565,0.5683353415854238
2,18279,13911,74009,4.109328151027207,28423,212.8131046045457,16591,0.5837174119551067
3,17169,13212,79854,4.736018029772849,26835,218.10389688451642,16062,0.5985466741196199
4,18429,14274,78311,4.314893382555513,28807,209.63401759509858,16244,0.5638907210053112
5,18967,15762,65081,3.473209520759953,26034,188.35949904328953,13767,0.5288084812168703
