Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,1726,1329,10238,6.08680142687277,2736,211.71421529276319,1543,0.5639619883040936
2,1481,1120,3193,2.215822345593338,2373,167.3784587985672,1332,0.561314791403287
3,1613,1218,3723,2.3773946360153255,2825,159.94040699575223,1544,0.5465486725663716
4,1602,1206,3772,2.439844760672704,2763,176.6874262725299,1562,0.5653275425262396
5,1855,1491,12737,7.068257491675916,2676,154.0922091375187,1473,0.5504484304932735
