Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,1424,1146,2656,1.8757062146892656,1800,146.40727171444448,1150,0.6388888888888888
2,1600,1263,2989,1.8989834815756035,2040,151.54155282303918,1264,0.6196078431372549
3,1555,1236,2926,1.9199475065616798,1941,153.12110497733127,1153,0.5940236991241628
4,2137,1820,4322,2.034839924670433,2633,159.62279491568552,1574,0.5977971895176605
5,1696,1428,2927,1.7453786523553965,2006,120.04666334147558,1183,0.5897308075772681
