`Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,34054,30053,229572,6.818092720738915,83079,237.74903611888683,39919,0.48049446911975346
2,33854,27629,230800,6.926770708283313,90771,249.4830380384374,41370,0.45576230293816306
3,32867,26734,240032,7.4281116543912855,88064,240.98060596529797,41894,0.47572220203488375
4,35126,28064,224660,6.503777900008685,87745,224.9958504873896,40160,0.45768989686021994
5,32096,27081,174860,5.539680025344527,69606,199.81432309731917,32956,0.47346493118409333
