Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,12502,3520,16066,1.2918944998391766,13591,45.38034882937238,10100,0.7431388418806563
2,13197,4719,17454,1.328310502283105,15118,55.8554650683953,9785,0.6472416986373859
3,12590,3175,17330,1.3837432130309806,14285,80.65019304550226,10632,0.744277213860693
4,12153,2702,19198,1.5930628163637872,14626,74.76918945583208,11007,0.7525639272528374
5,10083,1275,12159,1.2114177543090565,10857,42.00821047591416,9318,0.8582481348438795
