Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,1905,1809,3385,1.7995746943115365,2212,106.25002933137434,593,0.2680831826401447
2,1654,1575,3104,1.8984709480122324,1991,138.10065385534904,731,0.36715218483174283
3,1460,1392,2646,1.8451882845188285,1737,126.8902307369027,683,0.39320667818077143
4,1802,1715,3905,2.18890134529148,2300,204.24676113652174,802,0.348695652173913
5,2296,2231,3364,1.4806338028169015,2560,63.35370219804688,477,0.186328125
