Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,9546,7946,46968,4.977532852903773,12383,180.82356934474686,7666,0.6190745376726157
2,7080,5659,35318,5.072967538063775,9166,186.81569901309192,6132,0.6689941086624481
3,11749,10417,40147,3.4538024776324847,14350,145.56570461108012,7415,0.5167247386759581
4,17094,15552,51672,3.0499350726006376,20287,122.53351585483324,9222,0.454576822595751
5,12433,11181,38063,3.08902775523454,14668,144.950447323016,7812,0.5325879465503136
