Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,6409,5298,93264,14.593021436394931,35607,304.44462360207257,15000,0.4212654815064454
2,7554,5941,116907,15.604244527495995,40303,424.52765775575006,17172,0.4260725008063916
3,6022,4451,132186,22.03467244540757,44099,384.03052865019595,17863,0.40506587450962606
4,5444,3873,104354,19.221587769386627,40378,348.46573877321794,15519,0.3843429590370994
5,3867,2864,61786,16.01918589577392,26315,270.09621251005115,10636,0.40418012540376214
