Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,97750,94187,149601,1.5352667713432468,108142,72.83299617465003,23642,0.21861996264171182
2,93957,90742,155064,1.6551635800821902,102706,87.95441897609679,27654,0.2692539871088349
3,85050,80743,135691,1.6001485866578615,94409,89.50620648588587,25038,0.2652077662087301
4,80778,75613,145426,1.8087136052137358,89839,148.72623758253087,29201,0.32503701065238927
5,170428,166773,212188,1.2468591709856738,172953,46.104637538655076,28426,0.1643567905731615
