Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,136583,130458,338670,2.4906234832105194,181066,128.235873629925,50986,0.2815879292633625
2,132825,124949,355718,2.6908989129530307,181825,169.65839434691048,54466,0.2995517668087447
3,122343,115643,355054,2.915655922808458,175675,175.148077190306,57242,0.325840330155116
4,134826,126614,365863,2.72381625967838,187349,183.30480015806324,63560,0.3392598839598824
5,199138,194261,347033,1.7506053390907808,230048,83.44979927973291,50411,0.2191325288635415
