Month,Total users,New users,Views,Views per user,Sessions,Average session duration,Engaged sessions,Engagement rate
1,2009,1662,4222,2.128024193548387,3017,154.8540564113358,1404,0.46536294332118
2,1774,1460,3682,2.1246393537218697,2644,163.72807288653556,1224,0.4629349470499244
3,1884,1560,4135,2.2255113024757804,2990,230.95750571137125,1332,0.4454849498327759
4,1804,1458,4357,2.4574168076706147,2949,198.685486733469,1429,0.4845710410308579
5,1815,1467,3745,2.0980392156862746,2795,152.3118638822898,1296,0.4636851520572451
